BookName, Author,Publisher,Code 
民法物權論,謝在全著,新学林出版股份有限公司民109 [2020],DF521.4/462-7
不完整的大人,村田沙耶香著,時報文化出版企業股份有限公司2020,I313.65/157
國際政治夢工場.從電影看國際政治關係,沈旭暉,GLOs2021,D5-53/101
承傳與流播.全球脈絡與中國文化論集,熊志琴_ 曾智驄主編,秀威資訊科技股份有限公司2020,G12-53/41
解密史記.形塑中華文明的歷史關鍵大事,朴玉銘著,大旗出版社2021,K209/325
刑事訴訟法.理論與實務註釋,陳文貴著,元照出版有限公司2021,DF730.4/577
財富 戰爭與智慧.二戰啟示錄,巴頓·畢格斯著,大牌出版2020,F830.91/2113-3
法袍的背影.美、台法官懲戒案例選,作者姜世明,新學林出版股份有限公司2020,DF82/254
禪的思想,(日) 鈴木大拙著,五南2022,B946.5/221
大法官解釋彙編,宸榜主編,新學林出版股份有限公司2020,DF127.585/6-2
動機迷思.成功取決心態而非動機，高成就者的自我驅動法則,杰夫·海登著,大牌出版2020,B842.6/471
中國神話的符號現象,鍾宗憲著,臺灣師範大學出版中心2020,I207.73/10
刑法概要.刑法總則,盧映潔_ 李鳳翔著,五南圖書出版股份有限公司2020,DF61/45
資本市場與證券法學新思維,劉連煜著,劉連煜2020,DF438.74/363
多重人格交響曲.發現與理解複數自我,詹姆斯·法第曼_ 喬丹·葛魯伯著,本事出版2021,B848/198
雨后霓虹.失能者的生命故事,孫小玉[著],国立中山大学人文研究中心2021,C913.69/7
我睡不著的那一年,薩曼莎·哈維著,堡垒文化/远足文化事业股份有限公司2020,I712.45/2124
創造力的激發.吳靜吉的七十堂創造力短講,吳靜吉著,遠流出版事業股份有限公司2020,G305/153
從智人到AlphaGo.機器崛起前傳_ 人工智慧的起點,蔡恆進 ... [等]著,清文華泉事業有限公司2020,TP18/293
資訊生活安全.行動智慧應用與網駭實務,王旭正_ 李榮三_ 魏國瑞著,博碩文化股份有限公司2020,TN918.1/44
美國科技法律實務評析,盧遠珊著,元照出版公司2022,DF374/177
霍布斯邦看21世紀.全球化 民主與恐怖主義,艾瑞克·霍布斯邦著,麥田出版2021,D5-53/100-2
中國歷史與文化的新探索,陳弱水著,联经出版事业股份有限公司2021,K203/687
新歐亞大陸.面對消失的地理與國土疆界，世界該如何和平整合？,布魯諾·瑪薩艾斯著,馬可孛羅文化2020,D5/466
追求終極青春：楊照談三島由紀夫,楊照著,麦田出版2022,I313.06/27
世紀病毒.必讀防疫英文知識與詞匯,蘇正隆編著,书林出版有限公司2020,R18/19
走在人生的懸崖邊上：楊照談太宰治,楊照著,麦田出版2022,I313.06/26
教育家叔本華,弗里德里希·尼采著,新雨出版社2020,B516.41/87
AI思維.不需艱深技術，不用巨額投資，任何企業都適用的進化關鍵,周忠信著,商周出版2020,F272/1041
智慧財產權與公平貿易之探討.TRIPS第三十一條修正案研析,王孟筠著,秀威資訊科技股份有限公司2019,DF971/106
現代中國文學批評述論,柯慶明著,臺灣大學出版中心2020,I206.6/571
戰爭、傳統與現代性: 跨文化流派爭鳴,陳相因主編,中央研究院中国文哲研究所2020,G04/146
疆界、主權、法,作者卡爾·施密特 ... [等],交通大學出版社[2020],DF03/118
民事訴訟法爭點隨身書,宋定翔_ 王俊翔編著,新保成文化事业有限公司2020,DF720.4/559-2
失控的群體思維.peer pressure_ groupthink_ and how the people around us shape everything we do,麥可·龐德著,方言文化出版事業有限公司2020,C912.6/259
美國人文城市與經典建築.my perspectives in United States,蘇玉守著/攝影,博客思出版事業網2020,TU-867.12/2
新時代的市場競爭與管制.我國與歐盟競爭法的觀點,魏杏芳著,元照出版2022,DF414.4/668
從殊途走向療愈.精神分析躺椅上的四個人生故事,沃米克·沃爾肯著,心靈工坊文化事業股份有限公司2021,B84-065/271
解密黑洞與人類未來,法爾克_ 羅默著,远见天下文化出版股份有限公司2021,P1-49/27
氣候變遷.媒體再現與風險傳播,李美華著,國立陽明交通大學出版社2021,G206/369
初次印象心理學,周一南著,方言文化2020,C912.11/192
[新版]人際空間心理學,張明玉著,布拉格文創社2020,C912.11/191-2
农业与农村经济发展研究,东北农业大学经济管理学院_ 农村经济与社会发展研究中心,中国农业出版社2004,F32/83
排版造型 白井敬尚.从国际风格到古典样式再到idea,张弥迪编,湖南美术出版社2021,TS812/7
国家社科基金申报指导与技巧,杜为公_ 杜康著,清华大学出版社2021,C36/3
国家社科基金申报指导手册,田洪鋆著,清华大学出版社2022,C36/2
上海银行家书信集,邢建榕_ 何品_ 彭晓亮编注,上海远东出版社2021,F832.751/54
《资本论》的宏观经济研究方法及其应用,何干强著,东方出版中心有限公司2022,A811.23/242
积极应对气候变化 推进绿色低碳发展调查研究报告.2012-2022,国家应对气候变化战略研究和国际合作中心编,中国环境出版集团2022,X511/154
中国知识产权年鉴,国家知识产权局主办,知识产权出版社2001-,D923.4-54/1_DF523-54/1
光荣之路,《光荣之路》编写组编,人民日报出版社2022,D261.42/120
中国当代律师,赵伟_ 廖卫华主编,中国政法大学出版社2022,DF85/513
中国劳动和社会保障科学研究院工作年报.2019,中国劳动和社会保障科学研究院编,中国劳动社会保障出版社2020,F249.2/46
新媒体艺术史,马晓翔著,东南大学出版社2022,G206.2/1034
高速铁路发展对中国区域空间格局的影响研究,王赟赟著,上海交通大学出版社2022,F127/1300
如何运用科学思维方法,任初轩编,人民日报出版社2022,B804/157
动态创新.技术变革与竞争优势,(美) 詹姆斯·阿特拜克著,中国广播影视出版社2022,F273.1/326
我国相对贫困治理.家庭跃迁视域下的实证调查与政策创新研究,曹艳春_ 叶怡君等著,上海远东出版社2021,F126/163
价值捕手.主权基金如何重塑数字经济的投资模式,马文彦_ (美) 保罗·唐斯著,中信出版集团股份有限公司2022,F830.59/1650
共赢.觉醒商业的实践,(美) 拉金德拉·西索迪亚_ (美) 蒂莫西·亨利_ (美) 托马斯·埃克施密特著,中国广播影视出版社2022,F272/1038
文化产业.创意经济与中国阐释,上海社会科学院文学研究所文化产业研究室编,上海远东出版社2021,G124/311
